"site_code" "author_crop" "author" "crop" "ant_percent" "apis_percent" "bee_percent" "other_hymenoptera_percent" "coleoptera_percent" "other_diptera_percent" "hemiptera_percent" "lepidoptera_percent" "other_percent" "syrphidae_percent" "nonbee_percent" "fruitset_sc" "bee_sc" "nonbee_sc" "apis_sc" "distance_sc"
"1" "and_bra_1" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 0 41.4285714285714 0 0 11.4285714285714 0 0 0 47.1428571428571 58.5714285714286 0.200546518442619 0.582118017362986 0.223853722324534 -0.623917748105777 -0.874686662668133
"2" "and_bra_10" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 52 28 0 0 4 0 0 0 16 20 -0.905742840220694 -1.14850311533778 -0.502158350079359 0.457539681944237 0.784201835495568
"3" "and_bra_2" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 0 65.3061224489796 2.04081632653061 0 10.2040816326531 0 0 0 22.4489795918367 34.6938775510204 -1.35533075310213 0.818111808185818 -0.260154325944728 -0.623917748105777 -1.17630275324335
"4" "and_bra_3" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 13.5746606334842 10.4072398190045 0 0 4.52488687782805 0 0 0 71.4932126696833 76.0180995475113 0.271268212603744 0.110130435717322 2.78506297774938 1.87175324431733 -0.459964538127208
"5" "and_bra_4" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 0 52.9411764705882 35.2941176470588 0 11.7647058823529 0 0 0 0 47.0588235294118 0.160134121779118 -0.991173921455895 -0.441657344045702 -0.623917748105777 -0.422262526805306
"6" "and_bra_5" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 49.1228070175439 19.2982456140351 1.75438596491228 0 10.5263157894737 0 0 0 19.2982456140351 31.5789473684211 1.59477420333337 -0.833844727574007 -0.239987323933509 1.70537517815579 -1.02549470795574
"7" "and_bra_6" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 0 53.3333333333333 0 0 26.6666666666667 0 0 0 20 46.6666666666667 -1.06739242687469 -1.06983851839684 -0.461824346056921 -0.623917748105777 0.218671665667033
"8" "and_bra_7" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 3.03030303030303 57.5757575757576 0 0 9.09090909090909 0 0 0 30.3030303030303 39.3939393939394 0.993639802963806 -0.204527952046455 -0.340822333989605 -0.540728715025007 1.53824206193361
"9" "and_bra_8" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 5.76923076923077 71.1538461538462 0 0 0 0 0 0 23.0769230769231 23.0769230769231 0.927969658385618 1.21143479289054 -0.360989336000825 -0.374350648863466 -0.120646436230087
"10" "and_bra_9" "Anderson_Brassica_rapa" "Anderson" "Brassica_rapa" 0 0 80.3921568627451 0 0 3.92156862745098 0 0 0 15.6862745098039 19.6078431372549 -0.819866497310756 1.52609318065431 -0.401323340023263 -0.623917748105777 1.53824206193361
"11" "bom_bna_1" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 74.5901639344262 21.7213114754098 0 0 0 0 3.68852459016393 0 0 3.68852459016393 -0.395458634394765 0.144710867110114 -0.0512739363913792 -0.297898398394349 NA
"12" "bom_bna_10" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 73.5177865612648 23.3201581027668 0 0 0 0 1.97628458498024 0 1.18577075098814 3.16205533596838 0.658715083803181 0.294411764120576 -0.222187057695976 -0.275708573560506 NA
"13" "bom_bna_2" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 81.8815331010453 11.4982578397213 0 0 0 0 2.4390243902439 0 4.18118466898955 6.62020905923345 1.8436241995998 -0.354292122924761 1.65785727665459 -0.00388321934592256 NA
"14" "bom_bna_3" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 81.5789473684211 11.1842105263158 0 0 0 0 1.31578947368421 0 5.92105263157895 7.23684210526316 -0.861641930222157 -0.753494514952661 0.290552306217815 -0.619650858485081 NA
"15" "bom_bna_4" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 78.7564766839378 19.1709844559585 0 0 0 0 0.518134715025907 0 1.55440414507772 2.07253886010363 0.750548728945652 -0.254491524917786 -0.905839542914364 -0.464322084648176 NA
"16" "bom_bna_5" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 92.2330097087379 4.85436893203883 0 0 0 0 2.9126213592233 0 0 2.9126213592233 -0.58040139197334 -1.05289630897359 -1.07675266421896 -0.780527088530446 NA
"17" "bom_bna_6" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 79.324055666004 16.6998011928429 0 0 0 0 0.795228628230616 0 3.18091451292246 3.97614314115308 -1.34631950180743 0.918165501664169 1.82877039795919 0.905899598841662 NA
"18" "bom_bna_7" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 81.8858560794045 17.3697270471464 0 0 0 0 0.620347394540943 0 0.124069478908189 0.744416873449132 -1.04084508497937 2.31537387376182 -0.56401330030517 2.35378566924995 NA
"19" "bom_bna_8" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 89.622641509434 8.49056603773585 0 0 0 0 0.943396226415094 0 0.943396226415094 1.88679245283019 0.482062863633277 -0.503993019935223 -0.56401330030517 0.273489591077122 NA
"20" "bom_bna_9" "Bommarco_Rundlof_Brassica_napus" "Bommarco_Rundlof" "Brassica_napus" 0 61.9047619047619 26.984126984127 0 0 0 0 11.1111111111111 0 0 11.1111111111111 0.489715667395149 -0.753494514952661 -0.393100179000573 -1.09118463620426 NA
"21" "car_han_1" "Carvalheiro_Helianthus_annuus" "Carvalheiro" "Helianthus_annuus" 0 49.304174948324 0 0 44.1351888689039 0 3.97614314008 1.98807157153105 0 0.596421471161105 50.695825051676 1.09253357433569 -0.474341649025257 2.76297556508382 -0.118889815715654 -0.511745672978965
